float_id,time,depth_dbar,temperature_C,salinity_psu
b'1902453 ',2025-09-22 02:10:55.000228864,232.0,12.744,35.032
b'1902453 ',2025-09-22 02:10:55.000228864,234.0,12.716,35.029
b'1902453 ',2025-09-22 02:10:55.000228864,236.0,12.667,35.028
b'1902453 ',2025-09-22 02:10:55.000228864,238.0,12.569,35.023
b'1902453 ',2025-09-22 02:10:55.000228864,240.0,12.467,35.017
b'1902453 ',2025-09-22 02:10:55.000228864,242.0,12.384,35.013
b'1902453 ',2025-09-22 02:10:55.000228864,244.0,12.341,35.01
b'1902453 ',2025-09-22 02:10:55.000228864,246.0,12.308,35.008
b'1902453 ',2025-09-22 02:10:55.000228864,248.0,12.279,35.007
b'1902453 ',2025-09-22 02:10:55.000228864,250.0,12.218,35.005
b'1902453 ',2025-09-22 02:10:55.000228864,252.0,12.161,35.001
b'1902453 ',2025-09-22 02:10:55.000228864,254.0,12.061,34.995
b'1902453 ',2025-09-22 02:10:55.000228864,256.0,11.951,34.987
b'1902453 ',2025-09-22 02:10:55.000228864,258.0,11.914,34.984
b'1902453 ',2025-09-22 02:10:55.000228864,260.0,11.897,34.983
b'1902453 ',2025-09-22 02:10:55.000228864,262.0,11.879,34.981
b'1902453 ',2025-09-22 02:10:55.000228864,264.0,11.872,34.981
b'1902453 ',2025-09-22 02:10:55.000228864,266.0,11.859,34.98
b'1902453 ',2025-09-22 02:10:55.000228864,268.0,11.844,34.978
b'1902453 ',2025-09-22 02:10:55.000228864,270.0,11.825,34.978
b'1902453 ',2025-09-22 02:10:55.000228864,272.0,11.813,34.977
b'1902453 ',2025-09-22 02:10:55.000228864,274.0,11.793,34.976
b'1902453 ',2025-09-22 02:10:55.000228864,276.0,11.777,34.975
b'1902453 ',2025-09-22 02:10:55.000228864,278.0,11.748,34.972
b'1902453 ',2025-09-22 02:10:55.000228864,280.0,11.691,34.969
b'1902453 ',2025-09-22 02:10:55.000228864,282.0,11.66,34.968
b'1902453 ',2025-09-22 02:10:55.000228864,284.0,11.641,34.969
b'1902453 ',2025-09-22 02:10:55.000228864,286.0,11.615,34.97
b'1902453 ',2025-09-22 02:10:55.000228864,288.0,11.57,34.967
b'1902453 ',2025-09-22 02:10:55.000228864,290.0,11.53,34.965
b'1902453 ',2025-09-22 02:10:55.000228864,292.0,11.496,34.962
b'1902453 ',2025-09-22 02:10:55.000228864,294.0,11.436,34.959
b'1902453 ',2025-09-22 02:10:55.000228864,296.0,11.395,34.957
b'1902453 ',2025-09-22 02:10:55.000228864,298.0,11.36,34.956
b'1902453 ',2025-09-22 02:10:55.000228864,300.0,11.302,34.953
